vértice,tempo_execução,solução
10,11.000633239746094,13.0
10,10.999917984008789,10.0
10,11.999845504760742,16.0
10,11.901617050170898,11.0
10,12.000799179077148,11.0
10,11.00015640258789,15.0
10,11.999845504760742,14.0
10,13.000249862670898,11.0
10,10.999679565429688,9.0
10,10.999917984008789,18.0
10,10.998725891113281,8.0
10,10.999679565429688,14.0
10,10.999679565429688,8.0
10,11.999368667602539,8.0
10,10.999917984008789,4.0
10,10.999679565429688,12.0
10,10.999202728271484,7.0
10,11.999130249023438,11.0
10,11.000394821166992,12.0
10,11.00015640258789,8.0
10,11.999368667602539,8.0
10,10.999441146850586,13.0
10,11.000394821166992,8.0
10,10.999441146850586,7.0
10,10.999679565429688,9.0
10,10.999917984008789,13.0
10,11.002540588378906,10.0
10,11.00015640258789,9.0
10,11.001110076904297,8.0
10,11.000394821166992,13.0
10,12.000322341918945,9.0
10,10.998725891113281,10.0
10,12.000083923339844,17.0
10,11.00015640258789,14.0
10,11.001348495483398,13.0
10,11.001348495483398,12.0
10,11.00015640258789,11.0
10,11.097908020019531,13.0
10,11.99960708618164,11.0
10,11.00015640258789,11.0
10,12.000083923339844,10.0
10,12.000083923339844,12.0
10,12.000083923339844,9.0
10,12.000083923339844,10.0
10,13.076543807983398,9.0
10,11.00015640258789,17.0
10,12.000322341918945,10.0
10,10.999917984008789,14.0
10,11.999845504760742,12.0
10,13.001680374145508,8.0
10,12.000560760498047,10.0
10,12.000083923339844,14.0
10,11.00015640258789,21.0
10,10.999917984008789,8.0
10,12.000322341918945,14.0
10,12.000322341918945,12.0
10,11.999845504760742,14.0
10,11.99960708618164,15.0
10,13.000249862670898,13.0
10,11.999130249023438,6.0
10,10.999917984008789,16.0
10,13.000249862670898,7.0
10,11.999845504760742,10.0
10,12.000322341918945,7.0
10,12.000322341918945,13.0
10,14.000654220581055,9.0
10,12.000083923339844,11.0
10,12.000322341918945,8.0
10,12.000322341918945,17.0
10,16.00050926208496,7.0
10,11.999845504760742,9.0
10,12.000322341918945,5.0
10,12.000083923339844,9.0
10,12.000322341918945,10.0
10,12.000560760498047,14.0
10,11.00015640258789,8.0
10,12.000083923339844,8.0
10,10.999202728271484,13.0
10,11.999845504760742,8.0
10,13.000965118408203,12.0
10,12.000322341918945,10.0
10,12.000083923339844,14.0
10,12.001991271972656,9.0
10,11.998176574707031,14.0
10,13.000011444091797,22.0
10,12.000083923339844,4.0
10,12.000083923339844,11.0
10,12.000322341918945,6.0
10,11.999845504760742,8.0
10,12.000322341918945,13.0
10,12.000083923339844,10.0
10,12.000322341918945,10.0
10,11.998176574707031,6.0
10,11.999845504760742,15.0
10,12.000083923339844,9.0
10,13.99993896484375,12.0
10,12.000322341918945,10.0
10,11.999845504760742,11.0
10,12.000083923339844,7.0
10,12.000560760498047,9.0
10,12.000083923339844,8.0
10,11.99793815612793,10.0
10,10.999917984008789,8.0
10,12.00103759765625,13.0
10,10.999679565429688,8.0
10,12.000083923339844,13.0
10,10.998249053955078,16.0
10,11.999845504760742,9.0
10,12.000322341918945,13.0
10,11.00015640258789,13.0
10,12.000322341918945,8.0
10,12.000083923339844,10.0
10,10.999917984008789,8.0
10,11.998176574707031,9.0
10,11.001825332641602,7.0
10,11.999845504760742,17.0
10,12.000083923339844,19.0
10,11.000394821166992,12.0
10,12.000083923339844,14.0
10,10.999917984008789,7.0
10,11.00015640258789,9.0
10,10.999441146850586,10.0
10,11.99793815612793,9.0
10,12.000083923339844,14.0
10,10.99705696105957,8.0
10,11.999130249023438,12.0
10,11.847257614135742,11.0
10,10.99848747253418,10.0
10,10.999679565429688,11.0
10,11.998891830444336,16.0
10,11.000871658325195,8.0
10,11.000633239746094,7.0
10,11.000633239746094,7.0
