vertice,execution_time,solution,route
5.0,0.0,14.0,"(0, 3, 4, 1, 2)"
5.0,0.0,11.0,"(0, 3, 2, 4, 1)"
5.0,0.0,7.0,"(0, 4, 1, 3, 2)"
5.0,0.0,10.0,"(0, 4, 3, 1, 2)"
5.0,0.0,10.0,"(0, 2, 4, 1, 3)"
5.0,1.0001659393310547,11.0,"(0, 2, 4, 3, 1)"
5.0,0.0,9.0,"(0, 1, 2, 4, 3)"
5.0,0.0,5.0,"(0, 1, 2, 3, 4)"
5.0,0.0,15.0,"(0, 3, 4, 2, 1)"
5.0,0.0,4.0,"(0, 2, 4, 1, 3)"
5.0,0.0,15.0,"(0, 3, 1, 2, 4)"
5.0,0.0,8.0,"(0, 1, 4, 2, 3)"
5.0,0.0,13.0,"(0, 2, 4, 3, 1)"
5.0,0.0,14.0,"(0, 1, 3, 2, 4)"
5.0,0.0,10.0,"(0, 1, 4, 2, 3)"
5.0,0.0,14.0,"(0, 4, 2, 1, 3)"
5.0,0.0,13.0,"(0, 4, 2, 3, 1)"
5.0,0.0,16.0,"(0, 3, 2, 4, 1)"
5.0,0.0,14.0,"(0, 2, 3, 1, 4)"
5.0,0.0,14.0,"(0, 4, 2, 3, 1)"
5.0,0.0,9.0,"(0, 2, 1, 3, 4)"
5.0,0.0,16.0,"(0, 1, 2, 4, 3)"
5.0,0.0,8.0,"(0, 2, 3, 4, 1)"
5.0,0.0,13.0,"(0, 3, 1, 2, 4)"
5.0,0.0,11.0,"(0, 2, 3, 1, 4)"
5.0,0.0,10.0,"(0, 3, 4, 2, 1)"
5.0,0.0,7.0,"(0, 2, 4, 1, 3)"
5.0,0.0,18.0,"(0, 1, 2, 4, 3)"
5.0,0.0,12.0,"(0, 3, 2, 1, 4)"
5.0,0.0,15.0,"(0, 2, 4, 1, 3)"
5.0,0.0,12.0,"(0, 3, 4, 1, 2)"
5.0,0.0,17.0,"(0, 3, 4, 2, 1)"
5.0,1.0037422180175781,11.0,"(0, 1, 3, 2, 4)"
5.0,0.0,12.0,"(0, 1, 4, 3, 2)"
5.0,0.0,5.0,"(0, 2, 1, 4, 3)"
5.0,0.0,4.0,"(0, 2, 1, 4, 3)"
5.0,0.0,9.0,"(0, 1, 4, 3, 2)"
5.0,0.0,11.0,"(0, 2, 3, 1, 4)"
5.0,0.0,12.0,"(0, 1, 3, 2, 4)"
5.0,0.0,11.0,"(0, 4, 3, 2, 1)"
5.0,0.0,6.0,"(0, 1, 3, 2, 4)"
5.0,0.0,13.0,"(0, 1, 4, 3, 2)"
5.0,0.0,13.0,"(0, 4, 2, 3, 1)"
5.0,0.0,9.0,"(0, 1, 3, 4, 2)"
5.0,0.9996891021728516,13.0,"(0, 1, 2, 3, 4)"
5.0,0.0,15.0,"(0, 2, 4, 1, 3)"
5.0,0.0,13.0,"(0, 2, 3, 4, 1)"
5.0,0.0,6.0,"(0, 3, 1, 4, 2)"
5.0,0.0,15.0,"(0, 4, 2, 3, 1)"
5.0,0.0,12.0,"(0, 2, 4, 1, 3)"
5.0,0.0,13.0,"(0, 2, 1, 4, 3)"
5.0,0.0,15.0,"(0, 3, 2, 4, 1)"
5.0,0.0,20.0,"(0, 2, 4, 1, 3)"
5.0,0.0,4.0,"(0, 4, 2, 3, 1)"
5.0,0.0,11.0,"(0, 2, 4, 3, 1)"
5.0,0.0,12.0,"(0, 2, 1, 4, 3)"
5.0,0.0,15.0,"(0, 2, 1, 4, 3)"
5.0,1.0001659393310547,10.0,"(0, 3, 2, 4, 1)"
5.0,0.0,10.0,"(0, 3, 2, 1, 4)"
5.0,0.0,11.0,"(0, 2, 4, 3, 1)"
5.0,1.0001659393310547,16.0,"(0, 3, 2, 1, 4)"
5.0,0.0,18.0,"(0, 1, 2, 4, 3)"
5.0,0.0,20.0,"(0, 1, 4, 3, 2)"
5.0,0.0,15.0,"(0, 3, 4, 2, 1)"
5.0,0.0,11.0,"(0, 4, 2, 1, 3)"
5.0,0.0,16.0,"(0, 2, 1, 3, 4)"
5.0,0.0,4.0,"(0, 4, 2, 1, 3)"
5.0,1.001596450805664,9.0,"(0, 4, 3, 2, 1)"
5.0,0.0,9.0,"(0, 1, 2, 4, 3)"
5.0,0.0,11.0,"(0, 2, 1, 3, 4)"
5.0,0.0,10.0,"(0, 2, 4, 3, 1)"
5.0,0.0,8.0,"(0, 4, 1, 2, 3)"
5.0,0.0,11.0,"(0, 4, 3, 2, 1)"
5.0,0.0,15.0,"(0, 3, 4, 1, 2)"
5.0,0.0,15.0,"(0, 3, 4, 1, 2)"
5.0,0.0,8.0,"(0, 1, 2, 3, 4)"
5.0,0.0,13.0,"(0, 2, 1, 4, 3)"
5.0,0.0,16.0,"(0, 1, 4, 3, 2)"
5.0,0.0,13.0,"(0, 2, 3, 4, 1)"
5.0,0.9999275207519531,8.0,"(0, 1, 2, 3, 4)"
5.0,0.0,7.0,"(0, 1, 3, 4, 2)"
5.0,0.0,7.0,"(0, 2, 1, 3, 4)"
5.0,0.0,13.0,"(0, 1, 3, 4, 2)"
5.0,0.0,12.0,"(0, 4, 2, 3, 1)"
5.0,0.0,15.0,"(0, 4, 3, 2, 1)"
5.0,0.0,9.0,"(0, 4, 3, 1, 2)"
5.0,0.0,14.0,"(0, 1, 3, 4, 2)"
5.0,0.0,15.0,"(0, 3, 1, 4, 2)"
5.0,0.0,9.0,"(0, 4, 1, 3, 2)"
5.0,0.9999275207519531,12.0,"(0, 3, 1, 2, 4)"
5.0,0.0,16.0,"(0, 3, 1, 2, 4)"
5.0,0.0,5.0,"(0, 4, 3, 2, 1)"
5.0,0.0,13.0,"(0, 4, 2, 1, 3)"
5.0,0.0,10.0,"(0, 4, 3, 2, 1)"
5.0,0.0,12.0,"(0, 3, 1, 4, 2)"
5.0,0.0,13.0,"(0, 3, 2, 4, 1)"
5.0,0.99945068359375,12.0,"(0, 2, 4, 3, 1)"
5.0,0.0,13.0,"(0, 4, 1, 3, 2)"
5.0,0.0,11.0,"(0, 3, 2, 4, 1)"
5.0,0.0,9.0,"(0, 4, 2, 1, 3)"
