vértice,tempo_execução,solução,rota
10,5800.999879837036,13,"(0, 6, 4, 2, 9, 5, 8, 3, 1, 7)"
10,5863.877773284912,10,"(0, 4, 3, 1, 2, 9, 6, 7, 5, 8)"
10,5819.208860397339,16,"(0, 2, 6, 9, 3, 8, 4, 5, 1, 7)"
10,5912.774562835693,11,"(0, 8, 2, 6, 3, 7, 4, 5, 1, 9)"
10,5856.202602386475,11,"(0, 2, 7, 4, 6, 3, 5, 8, 9, 1)"
10,6057.000637054443,15,"(0, 1, 9, 4, 7, 5, 3, 8, 6, 2)"
10,5999.001026153564,14,"(0, 9, 8, 2, 6, 3, 1, 7, 4, 5)"
10,5800.638437271118,11,"(0, 7, 4, 1, 2, 3, 6, 9, 8, 5)"
10,5903.999328613281,9,"(0, 9, 1, 7, 6, 3, 5, 4, 8, 2)"
10,5917.00005531311,18,"(0, 1, 2, 7, 3, 9, 8, 5, 4, 6)"
10,5780.022382736206,8,"(0, 7, 5, 6, 4, 9, 1, 8, 2, 3)"
10,5788.174629211426,14,"(0, 7, 8, 4, 1, 2, 3, 6, 5, 9)"
10,5754.574537277222,8,"(0, 4, 1, 6, 2, 3, 8, 7, 5, 9)"
10,5747.000694274902,8,"(0, 9, 3, 1, 4, 7, 6, 8, 5, 2)"
10,5737.999677658081,4,"(0, 5, 6, 7, 2, 3, 9, 8, 4, 1)"
10,5728.04594039917,12,"(0, 8, 6, 5, 3, 2, 9, 7, 4, 1)"
10,5724.02548789978,7,"(0, 9, 7, 4, 5, 8, 2, 6, 1, 3)"
10,5789.001226425171,11,"(0, 2, 3, 1, 7, 5, 4, 8, 6, 9)"
10,5754.023551940918,12,"(0, 8, 1, 4, 5, 3, 7, 2, 6, 9)"
10,5767.082691192627,8,"(0, 8, 3, 6, 4, 2, 7, 9, 5, 1)"
10,5783.999919891357,8,"(0, 9, 5, 3, 4, 1, 2, 6, 7, 8)"
10,5745.017290115356,13,"(0, 2, 3, 5, 9, 8, 6, 4, 1, 7)"
10,5801.04398727417,8,"(0, 9, 2, 4, 7, 5, 1, 3, 6, 8)"
10,5767.672300338745,7,"(0, 6, 7, 9, 1, 2, 5, 8, 4, 3)"
10,5751.001358032227,9,"(0, 1, 5, 8, 9, 4, 3, 2, 6, 7)"
10,5771.009683609009,13,"(0, 1, 2, 7, 3, 9, 5, 8, 6, 4)"
10,5792.026519775391,10,"(0, 6, 5, 3, 7, 9, 1, 8, 2, 4)"
10,5798.474311828613,9,"(0, 3, 9, 4, 1, 5, 2, 8, 6, 7)"
10,5785.069942474365,8,"(0, 5, 4, 3, 8, 9, 6, 1, 2, 7)"
10,5733.019113540649,13,"(0, 5, 9, 2, 6, 4, 8, 1, 7, 3)"
10,5784.068584442139,9,"(0, 2, 3, 8, 6, 9, 5, 1, 4, 7)"
10,5743.99995803833,10,"(0, 1, 7, 3, 4, 6, 8, 5, 2, 9)"
10,5732.067823410034,17,"(0, 1, 3, 9, 7, 2, 6, 5, 4, 8)"
10,5776.000022888184,14,"(0, 2, 8, 4, 9, 6, 5, 7, 1, 3)"
