vértice,tempo_execução,solução,rota
10,29.999256134033203,9,"[0, 4, 9, 2, 8, 5, 6, 1, 3, 7]"
10,11.000394821166992,5,"[0, 9, 6, 7, 5, 4, 2, 3, 8, 1]"
10,22.999286651611328,9,"[0, 3, 4, 7, 9, 6, 2, 1, 8, 5]"
10,31.998395919799805,10,"[0, 7, 4, 8, 9, 2, 5, 1, 6, 3]"
10,101.00007057189941,14,"[0, 3, 5, 2, 8, 6, 7, 1, 4, 9]"
10,18.000125885009766,8,"[0, 3, 1, 2, 9, 8, 4, 7, 5, 6]"
10,33.99991989135742,8,"[0, 6, 7, 4, 5, 2, 8, 9, 1, 3]"
10,45.998334884643555,13,"[0, 4, 8, 5, 9, 2, 7, 3, 6, 1]"
10,27.001142501831055,8,"[0, 2, 8, 4, 9, 3, 6, 7, 1, 5]"
10,36.99994087219238,12,"[0, 9, 5, 6, 3, 2, 7, 8, 4, 1]"
10,28.000354766845703,10,"[0, 4, 9, 6, 2, 1, 8, 3, 7, 5]"
10,58.00032615661621,14,"[0, 1, 7, 6, 3, 9, 8, 4, 5, 2]"
10,26.999950408935547,9,"[0, 5, 9, 3, 8, 2, 4, 6, 7, 1]"
10,88.02413940429688,14,"[0, 1, 5, 8, 7, 2, 4, 9, 6, 3]"
10,186.03134155273438,22,"[0, 2, 8, 5, 3, 7, 6, 4, 1, 9]"
10,7.998943328857422,4,"[0, 2, 4, 3, 9, 5, 7, 6, 8, 1]"
10,44.99983787536621,11,"[0, 9, 4, 2, 5, 7, 8, 6, 3, 1]"
10,6.000280380249023,6,"[0, 3, 8, 1, 9, 6, 7, 5, 4, 2]"
10,15.000581741333008,8,"[0, 9, 1, 8, 5, 4, 7, 2, 6, 3]"
10,83.99820327758789,13,"[0, 6, 3, 4, 5, 9, 1, 8, 2, 7]"
10,33.99991989135742,10,"[0, 4, 6, 1, 8, 3, 2, 5, 7, 9]"
10,33.99991989135742,10,"[0, 2, 8, 4, 9, 1, 7, 6, 3, 5]"
10,17.002105712890625,6,"[0, 9, 8, 3, 4, 5, 6, 7, 2, 1]"
10,103.00040245056152,15,"[0, 3, 2, 9, 6, 8, 4, 7, 1, 5]"
10,42.9995059967041,9,"[0, 4, 5, 1, 9, 8, 6, 7, 2, 3]"
10,66.99848175048828,12,"[0, 4, 3, 7, 8, 9, 6, 1, 5, 2]"
10,23.000001907348633,10,"[0, 7, 5, 8, 9, 2, 3, 6, 4, 1]"
10,53.000450134277344,11,"[0, 2, 8, 5, 3, 7, 6, 4, 9, 1]"
10,16.000032424926758,7,"[0, 8, 5, 6, 4, 3, 9, 1, 2, 7]"
10,13.999700546264648,9,"[0, 9, 7, 3, 6, 1, 4, 2, 8, 5]"
10,20.998477935791016,8,"[0, 4, 3, 8, 6, 7, 9, 5, 2, 1]"
10,73.03714752197266,10,"[0, 8, 7, 3, 9, 1, 4, 6, 5, 2]"
10,17.999649047851562,8,"[0, 1, 8, 3, 2, 5, 6, 7, 4, 9]"
10,46.99993133544922,13,"[0, 5, 2, 4, 7, 3, 9, 6, 1, 8]"
10,18.000125885009766,8,"[0, 6, 9, 4, 7, 8, 2, 3, 5, 1]"
10,41.0001277923584,13,"[0, 5, 1, 7, 9, 4, 6, 2, 8, 3]"
10,44.99959945678711,16,"[0, 2, 7, 4, 6, 8, 9, 3, 1, 5]"
10,26.999235153198242,9,"[0, 5, 6, 2, 4, 3, 9, 7, 1, 8]"
10,53.999900817871094,13,"[0, 1, 7, 4, 2, 5, 6, 3, 9, 8]"
10,55.00030517578125,13,"[0, 4, 9, 2, 8, 6, 3, 1, 7, 5]"
10,32.999515533447266,8,"[0, 4, 1, 3, 5, 8, 9, 6, 7, 2]"
10,25.99930763244629,10,"[0, 5, 1, 4, 6, 2, 9, 8, 7, 3]"
10,23.000240325927734,8,"[0, 4, 3, 8, 6, 1, 2, 9, 5, 7]"
10,18.00084114074707,9,"[0, 1, 4, 9, 2, 8, 3, 6, 5, 7]"
10,13.000011444091797,7,"[0, 2, 3, 6, 4, 9, 5, 8, 7, 1]"
10,102.00071334838867,17,"[0, 2, 1, 4, 9, 5, 7, 6, 3, 8]"
10,198.00090789794922,19,"[0, 4, 1, 6, 5, 9, 2, 7, 3, 8]"
10,55.999040603637695,12,"[0, 9, 7, 8, 6, 5, 2, 3, 1, 4]"
10,55.9999942779541,14,"[0, 1, 3, 8, 6, 2, 4, 7, 5, 9]"
10,14.000415802001953,7,"[0, 5, 2, 6, 4, 1, 8, 3, 7, 9]"
10,16.99995994567871,9,"[0, 6, 7, 5, 2, 8, 3, 1, 9, 4]"
10,46.00191116333008,10,"[0, 6, 4, 3, 5, 8, 2, 7, 1, 9]"
10,27.9998779296875,9,"[0, 4, 6, 5, 8, 2, 9, 1, 3, 7]"
10,64.99838829040527,14,"[0, 2, 7, 4, 9, 8, 3, 5, 6, 1]"
10,22.00174331665039,8,"[0, 2, 8, 5, 4, 1, 3, 9, 7, 6]"
10,31.000614166259766,12,"[0, 2, 1, 9, 6, 3, 8, 4, 7, 5]"
10,28.856515884399414,11,"[0, 9, 5, 6, 1, 2, 7, 8, 4, 3]"
10,29.001474380493164,10,"[0, 4, 7, 3, 5, 2, 6, 1, 9, 8]"
10,36.00049018859863,11,"[0, 2, 7, 4, 6, 5, 8, 1, 3, 9]"
10,73.00066947937012,16,"[0, 7, 1, 9, 4, 3, 2, 5, 8, 6]"
10,22.998809814453125,8,"[0, 1, 2, 8, 6, 7, 5, 3, 9, 4]"
10,20.998716354370117,7,"[0, 5, 6, 8, 4, 2, 9, 7, 1, 3]"
10,15.998125076293945,7,"[0, 5, 8, 4, 1, 2, 3, 9, 6, 7]"
10,84.13314819335938,15,"[0, 1, 4, 2, 8, 3, 6, 9, 7, 5]"
10,55.9995174407959,13,"[0, 3, 5, 8, 6, 1, 4, 9, 7, 2]"
10,13.000249862670898,7,"[0, 6, 4, 9, 3, 7, 2, 8, 1, 5]"
10,50.54759979248047,14,"[0, 4, 8, 1, 2, 5, 7, 9, 6, 3]"
10,15.00082015991211,8,"[0, 3, 8, 9, 1, 4, 6, 2, 7, 5]"
10,68.00127029418945,14,"[0, 5, 3, 2, 1, 6, 4, 9, 8, 7]"
10,52.00076103210449,13,"[0, 2, 3, 4, 8, 6, 5, 1, 9, 7]"
10,202.99720764160156,19,"[0, 4, 9, 1, 7, 2, 8, 5, 3, 6]"
10,26.0007381439209,8,"[0, 9, 2, 5, 4, 1, 7, 6, 8, 3]"
10,19.000530242919922,7,"[0, 4, 6, 8, 1, 2, 7, 5, 3, 9]"
10,28.999805450439453,9,"[0, 4, 2, 8, 1, 5, 7, 6, 3, 9]"
10,22.992849349975586,11,"[0, 1, 9, 3, 5, 8, 4, 6, 2, 7]"
10,15.000104904174805,7,"[0, 1, 2, 5, 3, 4, 6, 7, 8, 9]"
10,27.00185775756836,8,"[0, 8, 4, 1, 6, 7, 2, 5, 9, 3]"
10,72.00145721435547,16,"[0, 3, 7, 6, 4, 8, 5, 9, 1, 2]"
10,39.99972343444824,11,"[0, 8, 9, 6, 7, 5, 1, 4, 2, 3]"
10,21.001577377319336,10,"[0, 6, 9, 4, 7, 2, 5, 1, 8, 3]"
10,15.999794006347656,8,"[0, 9, 1, 7, 5, 3, 8, 4, 6, 2]"
10,65.00029563903809,13,"[0, 3, 6, 9, 1, 5, 2, 7, 8, 4]"
10,13.001203536987305,8,"[0, 6, 1, 7, 9, 8, 3, 2, 5, 4]"
10,25.997638702392578,9,"[0, 1, 9, 2, 7, 5, 3, 8, 4, 6]"
10,48.00009727478027,13,"[0, 7, 9, 5, 3, 2, 1, 4, 6, 8]"
10,30.001401901245117,12,"[0, 1, 7, 3, 4, 8, 5, 9, 2, 6]"
10,132.99894332885742,17,"[0, 1, 7, 4, 2, 8, 5, 9, 6, 3]"
10,18.00060272216797,7,"[0, 2, 8, 7, 1, 9, 3, 4, 6, 5]"
10,34.00015830993652,10,"[0, 5, 1, 8, 2, 6, 7, 3, 9, 4]"
10,64.99981880187988,13,"[0, 2, 5, 6, 9, 1, 3, 7, 8, 4]"
10,43.999671936035156,12,"[0, 7, 1, 5, 3, 6, 8, 9, 2, 4]"
10,67.0003890991211,10,"[0, 9, 1, 7, 3, 2, 4, 6, 8, 5]"
10,175.99987983703613,17,"[0, 7, 1, 4, 3, 2, 6, 8, 5, 9]"
10,55.00173568725586,12,"[0, 2, 8, 5, 9, 7, 3, 1, 4, 6]"
10,24.99985694885254,10,"[0, 1, 6, 7, 4, 9, 3, 5, 8, 2]"
10,103.99937629699707,14,"[0, 6, 3, 8, 9, 7, 2, 1, 5, 4]"
10,12.99595832824707,7,"[0, 9, 3, 2, 8, 7, 6, 4, 5, 1]"
10,57.999610900878906,11,"[0, 3, 8, 4, 1, 6, 2, 5, 9, 7]"
10,23.999929428100586,8,"[0, 8, 9, 3, 5, 2, 6, 7, 4, 1]"
10,7.000207901000977,6,"[0, 4, 6, 3, 7, 1, 9, 2, 8, 5]"
10,17.00115203857422,10,"[0, 1, 7, 6, 2, 8, 3, 5, 4, 9]"
10,46.000003814697266,13,"[0, 5, 9, 1, 8, 3, 4, 7, 2, 6]"
