vertice,average_time_execution_bf,average_time_execution_greedy,greedy_solution,brute_force_solution,same_solution
5.0,0.12857913970947265625,0.01428808484758649528789664628902755794115364551544189453125,13.0,10.0,False
6.0,0.84290163857596256402615608749329112470149993896484375,0.01430852072579520163631006113291732617653906345367431640625,11.0,8.0,False
7.0,6.4866440636771063310561657999642193317413330078125,0.01428467886788504538631006113291732617653906345367431640625,23.0,6.0,False
8.0,58.20051942552839108202533680014312267303466796875,0.0286034175327845967273798777341653476469218730926513671875,18.0,12.0,False
