vértice,tempo_execução,solução
5,0.0,11.0
5,0.0,14.0
5,0.0,14.0
5,0.0,16.0
5,0.0,5.0
5,0.0,12.0
5,0.0,10.0
5,0.9973049163818359,4.0
5,0.0,11.0
5,0.0,10.0
5,0.0,2.0
5,0.0,11.0
5,0.0,5.0
5,0.0,16.0
5,0.0,8.0
5,0.0,14.0
5,0.0,10.0
5,0.0,12.0
5,0.0,17.0
5,0.0,7.0
5,0.0,11.0
5,0.0,15.0
5,0.0,13.0
5,0.0,12.0
5,0.0,7.0
5,0.0,19.0
5,0.0,11.0
5,0.0,10.0
5,1.0001659393310547,18.0
5,0.0,17.0
5,1.0020732879638672,9.0
5,0.0,5.0
5,0.0,12.0
5,0.0,6.0
5,0.0,8.0
5,0.0,10.0
5,0.0,12.0
5,0.0,2.0
5,0.0,13.0
5,0.0,9.0
5,0.0,5.0
5,0.0,11.0
5,0.0,16.0
5,0.0,7.0
5,0.0,14.0
5,0.0,20.0
5,0.0,14.0
5,0.0,8.0
5,0.0,13.0
5,0.0,15.0
5,0.0,17.0
5,0.0,13.0
5,0.0,9.0
5,0.0,16.0
5,0.0,10.0
5,0.0,19.0
5,0.0,10.0
5,0.0,17.0
5,0.0,10.0
5,0.0,25.0
5,1.0001659393310547,8.0
5,0.0,9.0
5,0.0,12.0
5,0.0,14.0
5,0.0,15.0
5,0.0,11.0
5,0.0,13.0
5,0.0,17.0
5,0.0,13.0
5,0.0,8.0
5,0.0,9.0
5,0.0,13.0
5,0.0,14.0
5,0.0,11.0
5,0.0,13.0
5,0.0,13.0
5,0.0,11.0
5,0.0,14.0
5,0.0,13.0
5,0.0,13.0
5,0.0,7.0
5,0.0,15.0
5,0.0,14.0
5,0.0,8.0
5,0.0,9.0
5,0.0,14.0
5,0.0,14.0
5,0.0,16.0
5,0.0,10.0
5,0.0,12.0
5,0.0,13.0
5,0.0,12.0
5,0.0,21.0
5,0.0,10.0
5,0.0,15.0
5,0.0,9.0
5,0.0,10.0
5,0.0,14.0
5,0.0,8.0
5,0.0,16.0
5,0.0,18.0
5,0.0,13.0
5,0.0,11.0
5,0.0,9.0
5,0.0,8.0
5,0.0,15.0
5,0.0,17.0
5,0.0,4.0
5,0.0,17.0
5,0.0,9.0
5,0.0,11.0
5,0.99945068359375,12.0
5,0.0,8.0
5,0.0,4.0
5,0.0,18.0
5,0.0,11.0
5,0.0,7.0
5,0.0,8.0
5,0.0,8.0
5,0.0,16.0
5,0.0,5.0
5,0.0,18.0
5,0.0,7.0
5,0.0,8.0
5,0.0,11.0
5,0.0,14.0
5,0.0,3.0
5,0.0,15.0
5,0.0,12.0
5,0.0,10.0
5,0.0,10.0
5,0.0,12.0
5,0.0,12.0
5,0.0,18.0
5,0.0,12.0
5,0.0,9.0
5,0.0,12.0
5,0.0,13.0
5,0.0,9.0
5,0.0,14.0
5,0.0,11.0
5,0.0,13.0
5,0.0,11.0
5,0.0,17.0
5,0.9996891021728516,13.0
5,0.0,17.0
5,0.0,18.0
5,0.0,11.0
5,0.0,14.0
5,0.0,17.0
5,0.0,12.0
5,0.0,6.0
5,0.0,11.0
5,0.0,15.0
5,0.0,6.0
5,0.0,13.0
5,0.0,13.0
5,0.0,8.0
5,0.0,6.0
5,0.0,17.0
5,0.0,5.0
5,0.0,14.0
5,0.0,8.0
5,0.0,14.0
5,0.0,17.0
5,1.0027885437011719,13.0
5,0.0,12.0
5,0.0,15.0
5,0.0,11.0
5,0.0,13.0
5,0.0,14.0
5,0.0,13.0
5,1.0023117065429688,10.0
5,0.0,8.0
5,0.0,10.0
5,0.0,15.0
5,0.0,17.0
5,0.0,12.0
5,0.0,14.0
5,0.0,10.0
5,0.0,8.0
5,0.0,11.0
5,0.0,10.0
5,0.0,13.0
5,0.0,14.0
5,0.0,17.0
5,0.0,17.0
5,0.0,13.0
5,0.0,8.0
5,0.0,14.0
5,0.0,14.0
5,0.9999275207519531,10.0
5,0.0,17.0
5,0.0,10.0
5,0.0,12.0
5,0.0,12.0
5,0.0,21.0
5,0.9996891021728516,8.0
5,0.0,16.0
5,0.0,7.0
5,0.0,15.0
5,0.0,14.0
5,0.0,6.0
5,0.0,11.0
5,0.0,7.0
5,0.0,13.0
5,0.0,10.0
5,0.0,8.0
5,0.0,15.0
5,0.0,15.0
5,0.0,7.0
5,0.0,11.0
5,0.0,15.0
5,0.0,9.0
5,0.0,10.0
5,0.0,12.0
5,0.0,11.0
5,0.0,18.0
5,1.0001659393310547,13.0
5,0.0,19.0
5,0.0,15.0
5,0.0,12.0
5,0.0,22.0
5,0.0,16.0
5,0.0,8.0
5,0.99945068359375,19.0
5,0.0,10.0
5,0.99945068359375,12.0
5,0.0,7.0
5,0.0,14.0
5,0.0,11.0
5,0.9984970092773438,15.0
5,0.0,8.0
5,1.0006427764892578,12.0
5,0.0,11.0
5,0.0,13.0
5,0.0,11.0
5,0.0,12.0
5,0.0,14.0
5,0.0,19.0
5,0.0,17.0
5,0.0,16.0
5,0.0,15.0
5,0.0,18.0
5,0.0,10.0
5,0.0,13.0
5,0.0,5.0
5,0.0,13.0
5,0.0,12.0
5,0.0,12.0
5,0.0,10.0
5,0.0,14.0
5,0.0,13.0
5,0.0,11.0
5,0.0,12.0
5,0.0,7.0
5,0.0,15.0
5,0.0,3.0
5,0.0,9.0
5,0.0,9.0
5,0.0,15.0
5,0.0,7.0
5,0.0,16.0
5,0.0,13.0
5,0.99945068359375,11.0
5,0.0,7.0
5,0.0,14.0
5,0.0,9.0
5,0.0,8.0
5,0.9989738464355469,12.0
5,0.0,15.0
5,0.0,4.0
5,0.0,13.0
5,0.0,13.0
5,0.0,11.0
5,0.0,11.0
5,0.0,12.0
5,0.0,10.0
5,0.0,5.0
5,0.0,7.0
5,0.0,15.0
5,0.0,4.0
5,0.0,12.0
5,0.0,10.0
5,0.0,8.0
5,0.0,12.0
5,0.0,11.0
5,0.0,12.0
5,0.0,6.0
5,0.0,11.0
5,0.0,7.0
5,0.0,15.0
5,0.0,12.0
5,1.0027885437011719,4.0
5,0.0,9.0
5,0.0,9.0
5,0.0,3.0
5,0.0,14.0
5,0.0,16.0
5,0.0,14.0
5,0.0,20.0
5,0.0,13.0
5,0.0,12.0
5,0.0,18.0
5,0.0,4.0
5,0.9989738464355469,4.0
5,0.0,8.0
5,0.0,10.0
5,0.0,12.0
5,0.0,17.0
5,0.0,9.0
5,0.0,19.0
5,0.0,14.0
5,0.0,12.0
5,0.0,14.0
5,0.0,10.0
5,0.0,16.0
5,0.0,4.0
5,0.0,9.0
5,0.0,10.0
5,0.0,16.0
5,0.0,10.0
5,0.0,18.0
5,0.0,10.0
5,0.0,6.0
5,0.0,9.0
5,0.0,7.0
5,0.0,12.0
5,0.0,13.0
5,0.0,11.0
5,0.0,20.0
5,0.0,8.0
5,0.0,17.0
5,0.0,15.0
5,0.0,12.0
5,1.0001659393310547,12.0
5,0.0,9.0
5,0.0,19.0
5,0.0,9.0
5,0.0,12.0
5,0.0,13.0
5,0.0,15.0
5,1.0008811950683594,20.0
5,0.0,11.0
5,0.0,10.0
5,0.0,7.0
5,0.0,8.0
5,0.9999275207519531,17.0
5,0.0,5.0
5,0.0,15.0
5,0.0,3.0
5,0.0,14.0
5,0.0,12.0
